,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
17,Phoenix Suns,39-43,22-19,17-24,18-12,21-31,8-2,6-4,4-6,9-9,6-10,6-12,29-25,10-18,4-12,14-19,2-0,8-8,8-8,10-5,3-8,7-8,1-6
18,Brooklyn Nets,38-44,19-22,19-22,24-28,14-16,10-6,7-11,7-11,6-4,6-4,2-8,21-31,17-13,10-2,15-23,0-1,6-8,9-7,3-12,6-5,9-7,5-4
19,Indiana Pacers,38-44,23-18,15-26,28-24,10-20,9-9,8-8,11-7,4-6,2-8,4-6,21-33,17-11,4-12,19-20,1-1,6-9,5-11,5-11,7-2,8-8,6-2
20,Utah Jazz,38-44,21-20,17-24,15-15,23-29,6-4,6-4,3-7,9-7,7-11,7-11,19-34,19-10,5-10,18-19,0-2,5-10,6-9,6-9,6-5,10-6,5-3
21,Miami Heat,37-45,20-21,17-24,25-27,12-18,14-4,5-13,6-10,4-6,7-3,1-9,22-30,15-15,4-10,15-28,1-0,8-7,5-12,6-7,5-7,9-7,3-5
22,Charlotte Hornets,33-49,19-22,14-27,25-27,8-22,10-8,7-11,8-8,5-5,2-8,1-9,22-30,11-19,6-8,13-22,1-0,3-14,6-9,10-4,3-6,8-9,2-7
23,Detroit Pistons,32-50,18-23,14-27,23-29,9-21,8-10,6-10,9-9,2-8,3-7,4-6,21-33,11-17,7-6,19-25,0-2,3-12,5-9,10-7,5-6,6-9,3-5
24,Denver Nuggets,30-52,19-22,11-30,11-19,19-33,1-9,6-4,4-6,6-10,8-10,5-13,20-33,10-19,4-4,17-28,1-0,7-8,5-11,6-10,1-9,8-8,2-6
25,Sacramento Kings,29-53,18-23,11-30,11-19,18-34,4-6,4-6,3-7,8-10,7-9,3-15,18-34,11-19,6-4,12-28,1-1,8-7,4-11,4-10,3-7,6-11,3-6
26,Orlando Magic,25-57,13-28,12-29,15-37,10-20,6-12,5-13,4-12,4-6,4-6,2-8,17-39,8-18,6-8,4-27,0-2,7-10,6-10,2-13,4-6,3-11,3-5
27,Los Angeles Lakers,21-61,12-29,9-32,12-18,9-43,4-6,5-5,3-7,5-13,2-14,2-16,13-40,8-21,6-6,5-30,0-3,4-10,6-9,3-12,3-7,4-12,1-8
28,Philadelphia 76ers,18-64,12-29,6-35,12-40,6-24,2-14,5-13,5-13,4-6,1-9,1-9,12-41,6-23,3-7,5-41,0-2,0-14,4-10,6-12,3-7,5-12,0-7
29,New York Knicks,17-65,10-31,7-34,11-41,6-24,5-11,2-16,4-14,2-8,2-8,2-8,10-43,7-22,2-7,3-39,1-1,3-13,1-15,4-9,3-8,2-14,3-5
30,Minnesota Timberwolves,16-66,9-32,7-34,9-21,7-45,4-6,3-7,2-8,4-12,2-16,1-17,11-42,5-24,6-6,4-40,1-1,3-10,1-14,3-14,5-6,3-13,0-8
